"date","source","leads_generated"
"2024-06-25",Twitter,22
"2024-03-13",Instagram,3
"2024-07-08",Social Media - Campaign,110
"2024-02-18",Instagram,1
"2024-04-21",Instagram,1
"2024-02-03",Social Media - Campaign,60
"2024-01-23",Social Media - Campaign,71
"2024-12-07",Test Drive,37
"2024-05-27",Toll Free,175
"2024-08-05",Toyota Offer,1
"2024-10-05",Instagram,1
"2024-04-12",Twitter,9
"2024-01-20",Facebook,1
"2024-08-23",Chatbot,5
"2024-03-08",Motory,77
"2024-02-22",Motory,67
"2024-08-16",Social Media - Campaign,72
"2024-12-26",Online Sales,166
"2024-03-16",Chatbot,1
"2024-08-11",Online Sales,392
"2024-10-15",Toyota Offer,1
"2024-05-24",Toyota Offer,69
"2024-08-12",Twitter,28
"2024-08-21",Motory Campaign,15
"2024-08-28",Chatbot,5
"2024-01-31",Instagram,1
"2024-07-03",Test Drive,69
"2024-12-04",Test Drive,51
"2024-05-14",Test Drive,51
"2024-12-29",Chatbot,1
"2024-02-20",Motory,124
"2024-02-19",Instagram,2
"2024-05-30",Chatbot,2
"2024-08-13",Twitter,103
"2024-05-02",Events,4
"2024-05-29",Website,103
"2024-04-06",Motory,55
"2024-05-31",Chatbot,4
"2024-06-30",Events,1
"2024-12-21",Chatbot,4
"2024-01-26",Toyota Offer,34
"2024-07-07",Toll Free,157
"2024-05-30",Online Sales,394
"2024-03-29",Motory,79
"2024-10-28",Toll Free,91
"2024-10-25",Chatbot,2
"2024-10-02",Online Sales,257
"2024-01-03",Toll Free,128
"2024-01-26",Online Sales,304
"2024-01-10",Website,75
"2024-05-04",Facebook,2
"2024-03-26",Toyota Offer,1006
"2024-11-15",Test Drive,23
"2024-08-29",Yalla Motor,68
"2024-04-27",Motory,79
"2024-09-21",Motory,37
"2024-06-22",Chatbot,4
"2024-06-30",Website,148
"2024-12-18",Motory,49
"2024-11-20",Chatbot,5
"2024-09-10",Website,185
"2024-08-14",Chatbot,4
"2024-12-10",Social Media - Campaign,98
"2024-05-08",Website,112
"2024-09-30",Twitter,16
"2024-11-14",Toyota Offer,88
"2024-12-26",Website,133
"2024-08-03",Social Media - Campaign,149
"2024-04-26",Online Sales,339
"2024-04-01",Toll Free,111
"2024-04-26",Toyota Offer,20
"2024-01-26",Website,69
"2024-10-09",Twitter,7
"2024-08-31",Twitter,34
"2024-09-09",Online Sales,496
"2024-04-25",Chatbot,1
"2024-11-22",Facebook,1
"2024-10-01",Chatbot,3
"2024-03-31",Toyota Offer,1396
"2024-02-11",Toll Free,157
"2024-06-22",Test Drive,40
"2024-01-28",Twitter,8
"2024-11-06",Chatbot,2
"2024-07-14",Online Sales,410
"2024-05-15",Facebook,1
"2024-06-18",Mobile Applications-TSS,1
"2024-03-02",Mobile Applications-TSS,1
"2024-05-20",Twitter,25
"2024-08-13",Instagram,1
"2024-06-23",Website,102
"2024-12-15",Website,114
"2024-10-01",Toyota Offer,1
"2024-07-15",Online Sales,397
"2024-06-03",Online Sales,377
"2024-09-04",Toll Free,188
"2024-02-24",Toyota Offer,36
"2024-12-13",Online Sales,127
"2024-12-08",Social Media - Campaign,138
"2024-01-07",Motory,92
"2024-04-14",Website,95
"2024-12-07",Twitter,2
"2024-05-31",Website,87
"2024-10-01",Instagram,1
"2024-12-31",Twitter,1
"2024-12-29",Motory Campaign,11
"2024-12-22",Toyota Offer,2
"2024-05-18",Online Sales,466
"2024-01-29",Website,86
"2024-03-18",Website,159
"2024-10-25",Twitter,10
"2024-02-01",Motory,59
"2024-01-29",Motory,67
"2024-09-08",Events,2
"2024-07-12",Website,60
"2024-10-12",Social Media - Campaign,80
"2024-09-08",Website,225
"2024-12-10",Motory,44
"2024-08-23",Yalla Motor,7
"2024-01-28",Toll Free,154
"2024-07-28",Website,76
"2024-12-11",Toyota Offer,5
"2024-11-26",Twitter,6
"2024-06-08",Events,1
"2024-01-02",Chatbot,4
"2024-10-14",Toll Free,70
"2024-09-12",Toll Free,81
"2024-02-18",Website,131
"2024-06-04",Twitter,9
"2024-02-10",Facebook,1
"2024-08-16",Motory,46
"2024-08-11",Motory Campaign,30
"2024-04-27",Website,115
"2024-02-13",Motory,93
"2024-11-01",Online Sales,242
"2024-06-28",Online Sales,291
"2024-02-21",Online Sales,353
"2024-12-28",Social Media - Campaign,163
"2024-01-24",Toyota Offer,25
"2024-12-09",Motory Campaign,100
"2024-01-05",Social Media - Campaign,1
"2024-01-09",Chatbot,3
"2024-05-13",Test Drive,26
"2024-12-15",Toyota Offer,2
"2024-03-01",Toll Free,39
"2024-09-11",Toll Free,110
"2024-06-28",Chatbot,1
"2024-08-30",Online Sales,498
"2024-02-26",Toyota Offer,359
"2024-10-14",Chatbot,3
"2024-12-07",Motory Campaign,6
"2024-10-30",Twitter,16
"2024-01-13",Website,104
"2024-08-11",Toyota Offer,57
"2024-08-20",Twitter,41
"2024-06-07",Twitter,8
"2024-05-24",Motory,63
"2024-08-03",Motory,99
"2024-12-24",Toll Free,60
"2024-07-19",Toll Free,28
"2024-01-21",Toll Free,142
"2024-09-15",Social Media - Campaign,20
"2024-07-24",Website,99
"2024-08-24",Yalla Motor,21
"2024-08-27",Events,2
"2024-02-09",Online Sales,204
"2024-10-14",Website,124
"2024-11-19",Motory,49
"2024-05-10",Toll Free,2
"2024-05-19",Website,94
"2024-05-18",Facebook,3
"2024-01-30",Toll Free,179
"2024-05-10",Chatbot,4
"2024-01-15",Website,101
"2024-09-09",Motory,57
"2024-03-29",Instagram,1
"2024-06-28",Facebook,2
"2024-10-13",Toll Free,70
"2024-08-19",Twitter,53
"2024-08-23",Motory,44
"2024-08-11",Motory,80
"2024-08-19",Online Sales,1531
"2024-07-08",Toll Free,103
"2024-08-27",Motory Campaign,7
"2024-12-25",Toyota Offer,2
"2024-12-09",Social Media - Campaign,146
"2024-10-28",Twitter,16
"2024-11-01",Website,73
"2024-09-22",Twitter,13
"2024-12-11",Toll Free,45
"2024-11-15",Chatbot,1
"2024-08-22",Test Drive,29
"2024-01-05",Twitter,8
"2024-11-06",Motory Campaign,49
"2024-10-19",Mobile Applications-TSS,2
"2024-01-18",Toll Free,107
"2024-12-12",Motory Campaign,42
"2024-11-25",Motory,56
"2024-03-19",Online Sales,517
"2024-11-05",Twitter,5
"2024-01-25",Toyota Offer,35
"2024-01-12",Motory,94
"2024-08-10",Social Media - Campaign,69
"2024-05-12",Toll Free,132
"2024-07-13",Social Media - Campaign,147
"2024-04-03",Online Sales,204
"2024-05-20",Toyota Offer,2
"2024-08-07",Test Drive,30
"2024-05-26",Instagram,1
"2024-05-23",Website,104
"2024-07-13",Motory,74
"2024-06-30",Chatbot,1
"2024-01-17",Twitter,12
"2024-10-12",Website,115
"2024-07-20",Website,82
"2024-02-19",Toyota Offer,38
"2024-10-31",Chatbot,6
"2024-02-15",Toyota Offer,12
"2024-12-21",Instagram,1
"2024-03-11",Motory,80
"2024-07-21",Twitter,9
"2024-09-04",Test Drive,62
"2024-10-06",Toll Free,98
"2024-12-14",Chatbot,4
"2024-10-13",Mobile Applications-TSS,1
"2024-04-15",Motory,90
"2024-11-17",Motory Campaign,172
"2024-10-10",Test Drive,56
"2024-11-27",Test Drive,44
"2024-01-25",Motory,66
"2024-04-29",Website,128
"2024-09-15",Website,30
"2024-03-21",Website,135
"2024-12-02",Social Media - Campaign,42
"2024-10-04",Toll Free,21
"2024-06-01",Website,63
"2024-09-01",Motory Campaign,25
"2024-03-30",Website,132
"2024-09-19",Instagram,2
"2024-07-25",Toll Free,191
"2024-05-04",Twitter,9
"2024-05-13",Online Sales,359
"2024-09-23",Toyota Offer,1
"2024-10-20",Toll Free,95
"2024-07-04",Motory,56
"2024-12-11",Motory,38
"2024-08-09",Toyota Offer,217
"2024-06-28",Test Drive,29
"2024-04-14",Toll Free,175
"2024-03-22",Mobile Applications-TSS,1
"2024-03-05",Website,102
"2024-11-06",Toll Free,91
"2024-06-29",Chatbot,4
"2024-08-21",Online Sales,1493
"2024-06-14",Chatbot,2
"2024-04-22",Events,2
"2024-03-02",Online Sales,366
"2024-11-12",Twitter,5
"2024-03-10",Chatbot,3
"2024-06-18",Twitter,10
"2024-01-16",Toll Free,132
"2024-02-15",Toll Free,164
"2024-02-14",Website,133
"2024-07-31",Online Sales,183
"2024-03-28",Motory,71
"2024-05-09",Chatbot,5
"2024-09-11",Website,217
"2024-02-14",Online Sales,382
"2024-08-22",Yalla Motor,58
"2024-08-20",Chatbot,3
"2024-01-15",Online Sales,380
"2024-12-01",Motory,38
"2024-02-26",Online Sales,406
"2024-04-19",Toll Free,36
"2024-07-03",Toyota Offer,1
"2024-04-23",Twitter,20
"2024-12-29",Social Media - Campaign,161
"2024-12-17",Motory Campaign,110
"2024-02-25",Twitter,14
"2024-07-29",Test Drive,45
"2024-01-30",Twitter,10
"2024-05-17",Test Drive,66
"2024-04-02",Toyota Offer,35
"2024-01-31",Toll Free,177
"2024-08-24",Toyota Offer,10
"2024-08-20",Motory Campaign,25
"2024-02-09",Motory,95
"2024-06-24",Motory,68
"2024-03-10",Twitter,6
"2024-01-26",Instagram,1
"2024-11-29",Website,54
"2024-12-23",Chatbot,6
"2024-11-07",Chatbot,3
"2024-11-18",Motory,57
"2024-08-29",Toyota Offer,72
"2024-04-26",Chatbot,1
"2024-03-23",Online Sales,446
"2024-05-07",Chatbot,3
"2024-08-23",Test Drive,38
"2024-05-02",Motory,69
"2024-03-29",Toll Free,47
"2024-11-21",Chatbot,6
"2024-10-08",Motory,59
"2024-06-05",Chatbot,3
"2024-05-11",Motory,75
"2024-07-20",Chatbot,4
"2024-05-21",Instagram,1
"2024-07-04",Toll Free,152
"2024-07-01",Motory,68
"2024-08-09",Twitter,10
"2024-03-22",Facebook,1
"2024-08-28",Toll Free,294
"2024-12-20",Twitter,4
"2024-06-10",Social Media - Campaign,1
"2024-05-24",Toll Free,38
"2024-12-23",Toyota Offer,3
"2024-10-10",Chatbot,1
"2024-07-10",Motory,75
"2024-06-06",Events,1
"2024-06-28",Website,62
"2024-02-13",Online Sales,384
"2024-06-09",Test Drive,48
"2024-03-29",Website,119
"2024-01-25",Mobile Applications-TSS,1
"2024-03-27",Events,1
"2024-04-14",HoloLens,1
"2024-04-24",Twitter,10
"2024-05-21",Social Media - Campaign,40
"2024-09-29",Mobile Applications-TSS,1
"2024-09-12",Instagram,2
"2024-07-01",Chatbot,3
"2024-06-26",Test Drive,43
"2024-03-16",Facebook,2
"2024-09-09",Facebook,1
"2024-12-01",Test Drive,18
"2024-01-22",Toll Free,139
"2024-01-03",Chatbot,1
"2024-10-26",Twitter,17
"2024-03-22",Toll Free,35
"2024-03-29",Chatbot,10
"2024-05-17",Online Sales,374
"2024-12-21",Motory,40
"2024-03-17",Toll Free,158
"2024-07-10",Twitter,11
"2024-07-08",Online Sales,10
"2024-10-15",Motory,48
"2024-07-15",Twitter,9
"2024-09-30",Instagram,1
"2024-09-26",Toll Free,99
"2024-06-23",Chatbot,1
"2024-01-08",Motory,88
"2024-10-30",Motory Campaign,83
"2024-01-15",Toll Free,154
"2024-01-19",Motory,80
"2024-11-22",Toyota Offer,23
"2024-10-17",Test Drive,56
"2024-11-10",Motory Campaign,70
"2024-08-08",Motory,70
"2024-10-06",Twitter,4
"2024-05-29",Toll Free,171
"2024-05-06",Motory,75
"2024-12-16",Toll Free,60
"2024-11-06",Twitter,7
"2024-12-16",Toyota Offer,2
"2024-10-20",Test Drive,46
"2024-08-04",Test Drive,28
"2024-04-19",Events,4
"2024-07-28",Twitter,17
"2024-05-06",Chatbot,1
"2024-11-26",Toll Free,68
"2024-09-21",Chatbot,5
"2024-06-20",Chatbot,3
"2024-05-27",Twitter,21
"2024-09-22",Instagram,1
"2024-10-25",Test Drive,53
"2024-08-08",Facebook,1
"2024-03-09",Instagram,1
"2024-11-28",Social Media - Campaign,89
"2024-04-28",Online Sales,418
"2024-01-23",Motory,83
"2024-03-08",Website,89
"2024-07-01",Test Drive,59
"2024-10-24",Toll Free,73
"2024-01-17",Social Media - Campaign,18
"2024-09-03",Chatbot,1
"2024-06-07",Toyota Offer,5
"2024-06-19",Toyota Offer,1
"2024-06-13",Twitter,19
"2024-07-11",Social Media - Campaign,161
"2024-12-01",Facebook,1
"2024-10-12",Toll Free,61
"2024-12-13",Motory,27
"2024-06-11",Website,94
"2024-04-23",Chatbot,4
"2024-11-23",Chatbot,2
"2024-11-19",Twitter,10
"2024-11-17",Chatbot,5
"2024-11-20",Twitter,9
"2024-01-07",Chatbot,4
"2024-04-21",Twitter,7
"2024-11-18",Website,94
"2024-08-22",Motory Campaign,15
"2024-03-15",Instagram,1
"2024-09-05",Online Sales,435
"2024-03-06",Online Sales,357
"2024-09-13",Motory,42
"2024-05-07",Facebook,1
"2024-06-05",Toyota Offer,1
"2024-08-21",Motory,56
"2024-09-28",Toll Free,70
"2024-03-07",Online Sales,329
"2024-01-28",Toyota Offer,44
"2024-09-18",Mobile Applications-TSS,1
"2024-11-20",Website,105
"2024-10-26",Toyota Offer,68
"2024-08-07",Online Sales,384
"2024-10-22",Online Sales,362
"2024-08-23",Social Media - Campaign,138
"2024-08-08",Toll Free,184
"2024-07-17",Chatbot,4
"2024-02-27",Online Sales,391
"2024-06-10",Twitter,25
"2024-08-29",Twitter,24
"2024-05-14",Toyota Offer,1370
"2024-11-24",Online Sales,315
"2024-04-21",Motory,102
"2024-08-12",Chatbot,5
"2024-05-04",Toyota Offer,1
"2024-12-27",Test Drive,38
"2024-10-10",Online Sales,387
"2024-08-05",Motory,93
"2024-10-07",Twitter,5
"2024-08-30",Website,180
"2024-12-09",Chatbot,2
"2024-05-11",Website,112
"2024-02-10",Toll Free,131
"2024-08-19",Motory Campaign,11
"2024-02-04",Twitter,6
"2024-06-15",Motory,25
"2024-06-19",Twitter,12
"2024-09-24",Toll Free,131
"2024-10-08",Twitter,8
"2024-02-13",Social Media - Campaign,26
"2024-10-08",Social Media - Campaign,1
"2024-09-30",Online Sales,396
"2024-04-18",Mobile Applications-TSS,4
"2024-10-04",Test Drive,48
"2024-11-09",Online Sales,295
"2024-09-10",Twitter,28
"2024-12-06",Toll Free,7
"2024-04-12",Mobile Applications-TSS,1
"2024-03-21",Events,1
"2024-09-05",Motory,49
"2024-05-22",Test Drive,72
"2024-08-04",Online Sales,285
"2024-03-13",Facebook,1
"2024-02-20",Chatbot,1
"2024-08-11",Twitter,37
"2024-04-07",Chatbot,1
"2024-08-28",Test Drive,34
"2024-08-20",Yalla Motor,5
"2024-08-13",Facebook,1
"2024-07-03",Social Media - Campaign,28
"2024-01-24",Instagram,1
"2024-03-31",Facebook,4
"2024-12-24",Test Drive,46
"2024-01-27",Social Media - Campaign,38
"2024-09-23",Website,198
"2024-04-04",Motory Campaign,1
"2024-08-25",Twitter,36
"2024-11-26",Online Sales,284
"2024-09-06",Website,142
"2024-06-06",Toll Free,179
"2024-09-22",Chatbot,5
"2024-03-03",Events,2
"2024-09-20",Social Media - Campaign,67
"2024-06-23",Mobile Applications-TSS,2
"2024-12-03",Test Drive,30
"2024-12-16",Test Drive,14
"2024-12-13",Instagram,1
"2024-04-24",Chatbot,3
"2024-07-07",Twitter,12
"2024-04-15",Online Sales,364
"2024-10-27",Motory Campaign,21
"2024-04-13",Social Media - Campaign,129
"2024-08-04",Chatbot,1
"2024-10-06",Chatbot,2
"2024-08-30",Social Media - Campaign,40
"2024-02-16",Mobile Applications-TSS,1
"2024-01-20",Motory,95
"2024-08-02",Twitter,9
"2024-10-28",Motory Campaign,23
"2024-06-16",Mobile Applications-TSS,1
"2024-07-17",Motory,89
"2024-12-12",Social Media - Campaign,21
"2024-11-01",Toll Free,8
"2024-11-06",Test Drive,38
"2024-05-31",Facebook,1
"2024-02-06",Twitter,5
"2024-07-05",Website,44
"2024-10-23",Online Sales,343
"2024-10-10",Mobile Applications-TSS,1
"2024-10-13",Website,168
"2024-11-27",Facebook,1
"2024-09-16",Social Media - Campaign,180
"2024-07-02",Test Drive,54
"2024-10-20",Website,138
"2024-05-16",Test Drive,45
"2024-03-20",Motory,148
"2024-04-03",Motory,66
"2024-07-01",Mobile Applications-TSS,1
"2024-12-22",Chatbot,2
"2024-04-09",Instagram,1
"2024-08-21",Test Drive,34
"2024-07-23",Twitter,32
"2024-10-08",Test Drive,59
"2024-02-14",Chatbot,1
"2024-01-16",Twitter,8
"2024-10-10",Social Media - Campaign,138
"2024-04-27",Social Media - Campaign,137
"2024-04-23",Social Media - Campaign,15
"2024-07-08",Instagram,1
"2024-05-28",Motory,71
"2024-09-25",Online Sales,466
"2024-09-25",Website,215
"2024-11-28",Website,88
"2024-08-09",Test Drive,33
"2024-12-30",Website,177
"2024-05-19",Toyota Offer,56
"2024-01-13",Toll Free,103
"2024-08-16",Toll Free,116
"2024-10-27",Instagram,1
"2024-03-25",Facebook,1
"2024-11-19",Website,116
"2024-05-14",Mobile Applications-TSS,1
"2024-05-04",Website,110
"2024-02-06",Toyota Offer,23
"2024-09-07",Test Drive,61
"2024-10-27",Toyota Offer,1
"2024-12-23",Social Media - Campaign,135
"2024-06-02",Events,1
"2024-04-05",Chatbot,2
"2024-05-15",Toll Free,161
"2024-06-05",Online Sales,324
"2024-05-14",Social Media - Campaign,84
"2024-08-01",Motory Campaign,35
"2024-11-20",Motory Campaign,81
"2024-10-11",Motory Campaign,1
"2024-01-19",Chatbot,5
"2024-12-14",Toyota Offer,2
"2024-08-26",Yalla Motor,356
"2024-11-14",Test Drive,30
"2024-08-12",Online Sales,6
"2024-07-09",Toyota Offer,2
"2024-06-05",Test Drive,44
"2024-05-04",Motory,85
"2024-02-20",Toyota Offer,30
"2024-06-23",Test Drive,52
"2024-02-23",Motory,61
"2024-05-15",Motory,69
"2024-10-17",Chatbot,8
"2024-03-01",Chatbot,1
"2024-07-13",Test Drive,62
"2024-08-25",Chatbot,6
"2024-11-27",Online Sales,319
"2024-03-15",Online Sales,467
"2024-10-04",Events,1
"2024-06-30",Test Drive,63
"2024-06-04",Website,72
"2024-05-26",Website,119
"2024-10-31",Toyota Offer,60
"2024-06-17",Facebook,1
"2024-05-24",Online Sales,448
"2024-07-27",Instagram,2
"2024-12-17",Social Media - Campaign,101
"2024-09-16",Website,19
"2024-08-03",Toll Free,220
"2024-10-24",Online Sales,328
"2024-02-08",Online Sales,315
"2024-10-25",Motory,53
"2024-10-08",Chatbot,1
"2024-04-22",Chatbot,4
"2024-01-01",Toyota Offer,5
"2024-01-10",Twitter,6
"2024-11-25",Website,113
"2024-03-24",Events,1
"2024-11-09",Test Drive,50
"2024-01-13",Motory,96
"2024-02-01",Social Media - Campaign,47
"2024-07-05",Online Sales,139
"2024-07-19",Motory,62
"2024-06-01",Instagram,2
"2024-09-02",Test Drive,54
"2024-01-31",Website,90
"2024-07-06",Test Drive,32
"2024-09-03",Website,178
"2024-11-05",Website,103
"2024-01-24",Chatbot,1
"2024-07-13",Chatbot,4
"2024-11-21",Motory,48
"2024-04-07",Twitter,13
"2024-12-06",Motory,44
"2024-05-02",Online Sales,367
"2024-07-07",Online Sales,6
"2024-10-28",Toyota Offer,1
"2024-02-18",Chatbot,1
"2024-08-17",Social Media - Campaign,31
"2024-01-14",Toyota Offer,63
"2024-09-12",Toyota Offer,111
"2024-04-20",Toll Free,124
"2024-11-16",Chatbot,2
"2024-10-08",Online Sales,405
"2024-09-14",Twitter,22
"2024-04-16",Toll Free,183
"2024-03-17",Mobile Applications-TSS,1
"2024-10-13",Motory,48
"2024-08-09",Motory,56
"2024-08-11",Social Media - Campaign,13
"2024-02-02",Website,49
"2024-02-16",Website,86
"2024-01-16",Chatbot,4
"2024-03-31",Online Sales,488
"2024-10-21",Website,91
"2024-09-02",Mobile Applications-TSS,2
"2024-05-04",Events,2
"2024-12-21",Website,133
"2024-12-24",Chatbot,1
"2024-08-29",Website,88
"2024-04-27",Events,3
"2024-07-06",Instagram,1
"2024-05-21",Test Drive,65
"2024-05-25",Motory,68
"2024-09-12",Twitter,24
"2024-09-24",Website,190
"2024-09-15",Online Sales,87
"2024-05-25",Twitter,25
"2024-07-31",Website,36
"2024-12-15",Chatbot,5
"2024-12-08",Toyota Offer,7
"2024-11-21",Toll Free,48
"2024-04-23",Events,1
"2024-06-29",Twitter,19
"2024-07-27",Social Media - Campaign,13
"2024-08-17",Events,1
"2024-07-02",Motory,73
"2024-10-07",Social Media - Campaign,12
"2024-12-27",Chatbot,2
"2024-10-15",Toll Free,103
"2024-05-09",Social Media - Campaign,35
"2024-09-05",Website,166
"2024-02-28",Twitter,7
"2024-03-06",Motory,62
"2024-06-07",Test Drive,32
"2024-04-12",Website,33
"2024-11-11",Test Drive,38
"2024-12-12",Toll Free,40
"2024-08-13",Test Drive,186
"2024-09-11",Twitter,22
"2024-08-24",Test Drive,49
"2024-03-10",Website,114
"2024-07-20",Online Sales,437
"2024-03-20",Toll Free,132
"2024-05-18",Social Media - Campaign,378
"2024-06-11",Toyota Offer,2
"2024-12-28",Toyota Offer,2
"2024-10-15",Motory Campaign,25
"2024-06-09",Events,1
"2024-09-22",Facebook,1
"2024-04-30",Motory,74
"2024-03-26",Website,171
"2024-10-05",Toll Free,59
"2024-01-02",Instagram,1
"2024-03-08",Online Sales,315
"2024-02-16",Facebook,1
"2024-11-24",Toll Free,78
"2024-01-14",Toll Free,184
"2024-10-29",Facebook,1
"2024-02-29",Website,81
"2024-10-22",Motory,58
"2024-07-31",Facebook,1
"2024-01-21",Mobile Applications-TSS,1
"2024-04-20",Motory,89
"2024-04-19",Social Media - Campaign,49
