"date","source","leads_generated"
"2024-10-10",Toll Free,58
"2024-10-26",Online Sales,404
"2024-08-10",Motory,64
"2024-05-05",Motory,78
"2024-03-25",Events,3
"2024-11-08",Motory,35
"2024-09-18",Toyota Offer,24
"2024-09-22",Mobile Applications-TSS,1
"2024-06-23",Motory,74
"2024-03-25",Motory,123
"2024-02-22",Twitter,11
"2024-09-04",Online Sales,480
"2024-04-11",Chatbot,1
"2024-06-28",Twitter,13
"2024-10-17",Online Sales,314
"2024-06-02",Motory,74
"2024-07-09",Twitter,13
"2024-12-26",Facebook,2
"2024-09-28",Toyota Offer,23
"2024-07-30",Toll Free,226
"2024-07-22",Social Media - Campaign,40
"2024-04-12",Social Media - Campaign,69
"2024-03-14",Toll Free,110
"2024-03-15",Facebook,1
"2024-09-26",Social Media - Campaign,1
"2024-11-05",Social Media - Campaign,18
"2024-10-24",Test Drive,54
"2024-09-14",Online Sales,255
"2024-10-12",Twitter,13
"2024-10-28",Online Sales,368
"2024-06-13",Toyota Offer,2
"2024-09-16",Test Drive,11
"2024-08-09",Social Media - Campaign,84
"2024-01-08",Online Sales,458
"2024-01-23",Online Sales,376
"2024-01-08",Website,90
"2024-08-04",Motory Campaign,64
"2024-10-16",Chatbot,1
"2024-11-01",Toyota Offer,12
"2024-05-20",Chatbot,5
"2024-05-02",Toyota Offer,1
"2024-03-30",Chatbot,4
"2024-09-02",Motory,51
"2024-10-04",Twitter,1
"2024-04-20",Chatbot,4
"2024-07-04",Toyota Offer,1
"2024-07-25",Instagram,2
"2024-06-02",Website,87
"2024-03-08",Chatbot,1
"2024-02-03",Chatbot,2
"2024-12-03",Motory,36
"2024-12-30",Toll Free,48
"2024-03-09",Toll Free,138
"2024-04-05",Toll Free,10
"2024-03-31",Chatbot,5
"2024-03-23",Toyota Offer,102
"2024-01-20",Social Media - Campaign,52
"2024-11-24",Facebook,2
"2024-08-31",Events,2
"2024-12-25",Motory Campaign,3
"2024-05-27",Chatbot,6
"2024-08-20",Toll Free,314
"2024-12-22",Motory Campaign,275
"2024-12-19",Twitter,2
"2024-11-06",Social Media - Campaign,28
"2024-07-15",Toll Free,165
"2024-05-15",Online Sales,427
"2024-05-22",Mobile Applications-TSS,2
"2024-09-27",Twitter,11
"2024-05-24",Website,94
"2024-05-31",Toyota Offer,125
"2024-05-19",Motory,67
"2024-10-25",Instagram,1
"2024-02-21",Toll Free,166
"2024-03-28",Toyota Offer,2001
"2024-02-03",Twitter,7
"2024-01-22",Motory,133
"2024-07-16",Motory,76
"2024-01-09",Instagram,1
"2024-05-23",Facebook,1
"2024-04-20",Online Sales,394
"2024-09-10",Motory,46
"2024-11-11",Mobile Applications-TSS,1
"2024-08-27",Motory,40
"2024-07-26",Website,82
"2024-10-27",Chatbot,4
"2024-01-23",Twitter,7
"2024-11-16",Motory,45
"2024-09-07",Toll Free,101
"2024-05-22",Chatbot,5
"2024-03-15",Twitter,14
"2024-01-03",Website,76
"2024-09-22",Test Drive,60
"2024-08-29",Online Sales,707
"2024-08-06",Motory,78
"2024-05-31",Motory,48
"2024-01-27",Online Sales,409
"2024-07-11",Test Drive,50
"2024-03-15",Toyota Offer,2
"2024-07-28",Social Media - Campaign,48
"2024-10-19",Website,117
"2024-09-15",Toyota Offer,2
"2024-02-29",Facebook,1
"2024-02-12",Motory,122
"2024-09-19",Events,1
"2024-08-06",Online Sales,311
"2024-10-15",Online Sales,415
"2024-01-12",Toyota Offer,71
"2024-09-27",Social Media - Campaign,122
"2024-11-11",Facebook,1
"2024-07-31",Instagram,1
"2024-10-29",Chatbot,7
"2024-07-18",Chatbot,2
"2024-01-13",Facebook,1
"2024-06-10",Toll Free,134
"2024-12-13",Toll Free,15
"2024-01-23",Toyota Offer,19
"2024-10-12",Instagram,2
"2024-03-19",Website,121
"2024-09-01",Twitter,35
"2024-12-05",Social Media - Campaign,112
"2024-08-26",Motory Campaign,19
"2024-03-01",Website,62
"2024-02-13",Website,116
"2024-01-26",Motory,74
"2024-11-17",Website,131
"2024-04-19",Chatbot,1
"2024-12-11",Twitter,5
"2024-05-28",Toyota Offer,47
"2024-03-08",Social Media - Campaign,20
"2024-01-04",Motory,101
"2024-10-18",Test Drive,38
"2024-05-20",Social Media - Campaign,2
"2024-02-25",Toyota Offer,158
"2024-02-25",Website,107
"2024-07-30",Twitter,12
"2024-05-21",Toyota Offer,38
"2024-12-12",Chatbot,2
"2024-06-09",Toll Free,158
"2024-04-27",Toll Free,152
"2024-08-06",Website,71
"2024-04-16",Website,138
"2024-04-26",Website,84
"2024-06-06",Twitter,11
"2024-05-08",Social Media - Campaign,56
"2024-04-25",Online Sales,331
"2024-04-10",Facebook,1
"2024-05-08",Toyota Offer,40
"2024-04-30",Social Media - Campaign,41
"2024-02-26",HoloLens,1
"2024-12-08",Online Sales,241
"2024-11-24",Motory,69
"2024-03-25",Online Sales,441
"2024-03-20",Website,138
"2024-04-26",Twitter,4
"2024-07-18",Motory,85
"2024-02-12",Online Sales,351
"2024-07-30",Chatbot,4
"2024-06-02",Chatbot,4
"2024-07-25",Toyota Offer,1
"2024-01-13",Social Media - Campaign,1
"2024-01-05",Online Sales,322
"2024-11-20",Test Drive,40
"2024-08-04",Social Media - Campaign,29
"2024-11-12",Mobile Applications-TSS,1
"2024-02-08",Toll Free,131
"2024-12-27",Toyota Offer,2
"2024-03-07",Motory,62
"2024-09-05",Toll Free,129
"2024-07-14",Chatbot,2
"2024-10-22",Instagram,2
"2024-03-17",Website,152
"2024-03-09",Online Sales,396
"2024-02-12",Website,113
"2024-08-10",Toll Free,233
"2024-02-04",Motory,81
"2024-07-11",Twitter,5
"2024-04-21",Chatbot,4
"2024-07-12",Test Drive,46
"2024-12-10",Twitter,8
"2024-07-12",Toyota Offer,2
"2024-03-26",Twitter,17
"2024-05-08",Chatbot,3
"2024-12-05",Website,108
"2024-05-07",Toll Free,161
"2024-01-06",Website,80
"2024-09-24",Toyota Offer,2
"2024-08-12",Website,1
"2024-01-23",Toll Free,113
"2024-03-31",Website,116
"2024-05-23",Online Sales,402
"2024-04-02",Toll Free,113
"2024-11-02",Toll Free,55
"2024-11-03",Social Media - Campaign,346
"2024-04-11",Social Media - Campaign,12
"2024-12-22",Test Drive,48
"2024-05-27",Motory,59
"2024-07-26",Test Drive,41
"2024-05-06",Online Sales,362
"2024-02-19",Toll Free,177
"2024-01-09",Twitter,6
"2024-10-29",Twitter,14
"2024-06-26",Chatbot,3
"2024-05-06",Website,98
"2024-04-08",Motory,60
"2024-02-24",Website,109
"2024-11-11",Events,2
"2024-09-06",Social Media - Campaign,120
"2024-03-29",Twitter,12
"2024-02-22",Online Sales,356
"2024-10-20",Online Sales,385
"2024-06-21",Motory,41
"2024-04-29",Instagram,1
"2024-06-26",Toll Free,145
"2024-04-18",Instagram,2
"2024-09-05",Toyota Offer,25
"2024-07-02",Toll Free,241
"2024-04-24",Online Sales,326
"2024-08-10",Facebook,1
"2024-10-06",Toyota Offer,1
"2024-08-22",Chatbot,5
"2024-11-03",Twitter,5
"2024-11-10",Website,112
"2024-07-15",Website,98
"2024-11-22",Social Media - Campaign,11
"2024-09-04",Chatbot,2
"2024-04-21",Toll Free,201
"2024-08-29",Motory Campaign,23
"2024-11-10",Online Sales,294
"2024-07-31",Twitter,16
"2024-06-23",Online Sales,411
"2024-08-04",Toll Free,173
"2024-08-19",Chatbot,8
"2024-07-13",Twitter,6
"2024-11-13",Toll Free,68
"2024-06-08",Toll Free,208
"2024-06-08",Website,88
"2024-03-28",Toll Free,136
"2024-02-16",Online Sales,346
"2024-06-11",Online Sales,359
"2024-01-06",Twitter,8
"2024-10-18",Twitter,6
"2024-07-31",Test Drive,20
"2024-06-28",Toyota Offer,131
"2024-07-29",Toyota Offer,22
"2024-10-05",Social Media - Campaign,8
"2024-01-27",Toyota Offer,32
"2024-08-27",Chatbot,3
"2024-08-06",Chatbot,4
"2024-01-30",Chatbot,1
"2024-03-26",Toll Free,146
"2024-07-22",Facebook,1
"2024-05-04",Chatbot,1
"2024-11-15",Motory Campaign,1
"2024-01-27",Instagram,2
"2024-07-09",Website,61
"2024-08-21",Chatbot,7
"2024-03-26",Instagram,2
"2024-09-27",Website,153
"2024-10-01",Website,38
"2024-03-28",Chatbot,7
"2024-03-13",Twitter,10
"2024-08-22",Online Sales,1407
"2024-06-02",Social Media - Campaign,8
"2024-05-16",Social Media - Campaign,95
"2024-07-17",Toyota Offer,25
"2024-04-18",Chatbot,4
"2024-08-26",Toyota Offer,1
"2024-07-21",Motory,90
"2024-03-05",Online Sales,337
"2024-04-18",Twitter,13
"2024-11-21",Social Media - Campaign,49
"2024-09-30",Social Media - Campaign,13
"2024-07-31",Toll Free,204
"2024-03-11",Mobile Applications-TSS,1
"2024-03-18",Motory,125
"2024-09-28",Mobile Applications-TSS,3
"2024-08-31",Test Drive,66
"2024-08-27",Facebook,1
"2024-07-20",Motory,72
"2024-06-20",Test Drive,36
"2024-05-06",Mobile Applications-TSS,1
"2024-05-24",Test Drive,54
"2024-05-17",Website,74
"2024-04-02",Chatbot,1
"2024-12-02",Test Drive,30
"2024-08-18",Test Drive,44
"2024-05-07",Online Sales,318
"2024-08-23",Toyota Offer,119
"2024-06-12",Toyota Offer,1
"2024-06-07",Motory,70
"2024-03-22",Online Sales,433
"2024-12-22",Social Media - Campaign,126
"2024-03-21",Instagram,1
"2024-12-20",Test Drive,31
"2024-06-27",Test Drive,43
"2024-04-30",Chatbot,4
"2024-09-21",Website,113
"2024-08-01",Twitter,9
"2024-06-17",Test Drive,35
"2024-10-12",Mobile Applications-TSS,1
"2024-06-16",Website,47
"2024-01-09",Toyota Offer,20
"2024-04-30",Instagram,1
"2024-04-29",Toyota Offer,25
"2024-10-29",Test Drive,58
"2024-05-23",Instagram,3
"2024-03-25",Mobile Applications-TSS,1
"2024-03-15",Chatbot,2
"2024-03-31",Motory,66
"2024-08-10",Online Sales,396
"2024-05-05",Facebook,1
"2024-10-06",Motory,50
"2024-09-23",Test Drive,47
"2024-01-19",Toyota Offer,44
"2024-05-04",Online Sales,429
"2024-02-17",Twitter,3
"2024-04-23",Website,119
"2024-10-23",Chatbot,3
"2024-03-22",Twitter,8
"2024-04-14",Online Sales,341
"2024-06-07",Toll Free,46
"2024-04-15",Events,1
"2024-08-11",Chatbot,5
"2024-10-23",Toyota Offer,164
"2024-10-02",Test Drive,39
"2024-02-02",Online Sales,227
"2024-06-22",Twitter,21
"2024-11-12",Test Drive,50
"2024-07-06",Online Sales,2
"2024-07-07",Social Media - Campaign,86
"2024-02-26",Toll Free,174
"2024-12-23",Test Drive,40
"2024-05-07",Twitter,14
"2024-01-28",Instagram,1
"2024-08-07",Website,96
"2024-07-31",Motory,67
"2024-01-14",Instagram,1
"2024-01-18",Online Sales,315
"2024-09-20",Twitter,14
"2024-06-18",Test Drive,42
"2024-06-03",Social Media - Campaign,4
"2024-06-25",Instagram,1
"2024-03-27",Social Media - Campaign,9
"2024-09-14",Toll Free,101
"2024-09-19",Toyota Offer,17
"2024-10-07",Online Sales,426
"2024-04-30",Online Sales,306
"2024-12-14",Test Drive,46
"2024-04-17",Twitter,6
"2024-05-21",Chatbot,6
"2024-09-25",Toyota Offer,1
"2024-09-30",Toyota Offer,11
"2024-02-20",Toll Free,146
"2024-11-08",Twitter,4
"2024-04-17",Online Sales,358
"2024-08-29",Test Drive,34
"2024-06-21",Twitter,12
"2024-07-14",Instagram,1
"2024-02-18",Toyota Offer,22
"2024-12-19",Motory,43
"2024-01-18",Chatbot,4
"2024-07-09",Chatbot,3
"2024-01-19",Twitter,3
"2024-05-15",Toyota Offer,1352
"2024-09-03",Toyota Offer,71
"2024-10-10",Motory Campaign,2
"2024-09-29",Toyota Offer,21
"2024-09-18",Social Media - Campaign,59
"2024-01-07",Twitter,13
"2024-09-20",Toll Free,22
"2024-05-09",Online Sales,282
"2024-07-13",Instagram,1
"2024-08-26",Mobile Applications-TSS,2
"2024-06-22",Website,96
"2024-10-15",Chatbot,4
"2024-05-02",Social Media - Campaign,44
"2024-07-14",Twitter,10
"2024-04-24",Events,7
"2024-10-27",Toll Free,88
"2024-06-17",Website,75
"2024-08-09",Online Sales,293
"2024-07-09",Instagram,1
"2024-05-07",Social Media - Campaign,77
"2024-11-12",Online Sales,348
"2024-06-12",Toll Free,103
"2024-01-19",Online Sales,298
"2024-10-05",Mobile Applications-TSS,1
"2024-10-02",Social Media - Campaign,66
"2024-06-09",Motory,53
"2024-05-14",Toll Free,117
"2024-05-02",Instagram,1
"2024-09-26",Website,154
"2024-03-30",Mobile Applications-TSS,1
"2024-08-25",Toyota Offer,1
"2024-06-12",Twitter,16
"2024-06-19",Facebook,1
"2024-10-23",Facebook,1
"2024-08-27",Social Media - Campaign,1
"2024-11-21",Test Drive,41
"2024-07-04",Test Drive,62
"2024-09-17",Online Sales,408
"2024-09-01",Facebook,1
"2024-05-22",Website,120
"2024-05-09",Toll Free,140
"2024-08-04",Website,45
"2024-05-27",Online Sales,446
"2024-01-29",Chatbot,2
"2024-06-11",Motory,80
"2024-01-24",Twitter,8
"2024-01-06",Motory,67
"2024-06-02",Online Sales,381
"2024-09-19",Chatbot,6
"2024-06-01",Twitter,5
"2024-04-30",Twitter,5
"2024-02-03",Online Sales,356
"2024-03-02",Website,105
"2024-02-10",Online Sales,347
"2024-06-30",Toll Free,144
"2024-02-27",Chatbot,1
"2024-03-07",Toll Free,142
"2024-01-25",Website,75
"2024-11-18",Test Drive,48
"2024-08-30",Test Drive,55
"2024-07-17",Test Drive,34
"2024-09-17",Chatbot,5
"2024-03-26",Events,3
"2024-01-27",Events,1
"2024-03-07",Chatbot,1
"2024-10-06",Online Sales,389
"2024-06-22",Online Sales,410
"2024-09-04",Website,162
"2024-05-28",Chatbot,4
"2024-03-15",Events,1
"2024-07-20",Social Media - Campaign,80
"2024-06-11",Mobile Applications-TSS,1
"2024-08-10",Chatbot,2
"2024-07-22",Chatbot,1
"2024-07-30",Online Sales,393
"2024-12-24",Twitter,7
"2024-04-19",Motory,94
"2024-07-03",Events,1
"2024-06-20",Social Media - Campaign,6
"2024-02-29",Chatbot,2
"2024-02-08",Twitter,8
"2024-09-16",Online Sales,86
"2024-07-05",Social Media - Campaign,91
"2024-04-13",Motory,39
"2024-02-04",Facebook,1
"2024-05-27",Test Drive,51
"2024-09-13",Chatbot,3
"2024-06-16",Twitter,8
"2024-05-12",Motory,63
"2024-09-28",Website,130
"2024-03-14",Events,1
"2024-03-18",Twitter,10
"2024-05-23",Test Drive,47
"2024-01-23",Website,128
"2024-05-17",Chatbot,6
"2024-05-31",Test Drive,39
"2024-04-28",Website,135
"2024-05-07",Toyota Offer,20
"2024-01-01",Twitter,6
"2024-08-17",Mobile Applications-TSS,1
"2024-10-16",Online Sales,366
"2024-04-17",Instagram,1
"2024-09-06",Twitter,13
"2024-02-06",Website,103
"2024-03-04",Instagram,1
"2024-07-03",Twitter,19
"2024-01-04",Chatbot,1
"2024-07-14",Website,102
"2024-03-27",Chatbot,15
"2024-04-17",Toll Free,205
"2024-10-20",Motory,42
"2024-12-06",Toyota Offer,4
"2024-06-14",Instagram,1
"2024-04-29",Chatbot,2
"2024-08-05",Website,81
"2024-12-30",Twitter,11
"2024-07-16",Online Sales,351
"2024-06-18",Toll Free,2
"2024-04-07",Instagram,1
"2024-08-19",Test Drive,53
"2024-05-29",Mobile Applications-TSS,1
"2024-07-04",Facebook,1
"2024-11-02",Social Media - Campaign,353
"2024-06-22",Motory Campaign,1
"2024-11-24",Twitter,9
"2024-04-24",Toll Free,158
"2024-05-16",Twitter,26
"2024-03-02",Toll Free,149
"2024-05-05",Events,2
"2024-11-03",Chatbot,4
"2024-06-21",Toyota Offer,74
"2024-07-23",Toll Free,225
"2024-06-03",Mobile Applications-TSS,2
"2024-08-28",Twitter,24
"2024-04-22",Twitter,11
"2024-10-20",Chatbot,4
"2024-11-17",Twitter,9
"2024-05-08",Online Sales,354
"2024-03-20",Events,1
"2024-12-27",Social Media - Campaign,160
"2024-11-03",Website,103
"2024-10-13",Instagram,1
"2024-09-04",Twitter,17
"2024-10-27",Twitter,12
"2024-05-18",Motory,54
"2024-07-07",Website,55
"2024-03-02",Instagram,1
"2024-04-01",Website,97
"2024-11-08",Website,60
"2024-12-13",Toyota Offer,4
"2024-11-27",Motory Campaign,36
"2024-09-21",Online Sales,429
"2024-09-03",Motory Campaign,1
"2024-09-07",Chatbot,3
"2024-07-17",Toll Free,156
"2024-02-14",Toyota Offer,33
"2024-02-03",Instagram,1
"2024-07-13",Facebook,1
"2024-03-24",Online Sales,444
"2024-09-09",Motory Campaign,1
"2024-04-26",Events,2
"2024-11-01",Chatbot,1
"2024-06-24",Mobile Applications-TSS,1
"2024-06-29",Website,77
"2024-04-18",Toll Free,181
"2024-10-02",Toll Free,102
"2024-08-25",Motory Campaign,25
"2024-03-01",Motory,98
"2024-04-29",Events,5
"2024-12-10",Motory Campaign,97
"2024-09-14",Chatbot,3
"2024-10-30",Instagram,1
"2024-09-01",Test Drive,59
"2024-06-11",Twitter,22
"2024-06-13",Online Sales,343
"2024-07-17",Instagram,2
"2024-05-20",Facebook,1
"2024-10-18",Chatbot,3
"2024-12-24",Motory,39
"2024-12-28",Motory,38
"2024-06-01",Motory,67
"2024-11-20",Online Sales,311
"2024-10-21",Test Drive,36
"2024-10-20",Social Media - Campaign,1
"2024-01-11",Website,81
"2024-05-09",Website,65
"2024-02-20",Twitter,5
"2024-02-28",Motory,99
"2024-03-22",Motory,109
"2024-10-30",Toll Free,78
"2024-02-23",Twitter,4
"2024-06-14",Online Sales,256
"2024-05-31",Mobile Applications-TSS,1
"2024-11-17",Test Drive,60
"2024-05-28",Instagram,1
"2024-05-01",Mobile Applications-TSS,1
"2024-03-03",Website,101
"2024-06-10",Toyota Offer,169
"2024-09-16",Toyota Offer,112
"2024-02-06",Toll Free,139
"2024-08-01",Social Media - Campaign,48
"2024-06-19",Online Sales,363
"2024-10-18",Toll Free,25
"2024-09-25",Twitter,18
"2024-08-30",Twitter,19
"2024-10-29",Online Sales,349
"2024-07-27",Toll Free,141
"2024-09-26",Events,1
"2024-03-19",Toyota Offer,28
"2024-02-16",Motory,114
"2024-10-29",Motory Campaign,12
"2024-09-15",Instagram,2
"2024-07-21",Online Sales,431
"2024-05-11",Twitter,7
"2024-07-06",Website,40
"2024-03-14",Mobile Applications-TSS,2
"2024-11-26",Motory,51
"2024-03-03",Toll Free,200
"2024-08-24",Social Media - Campaign,14
"2024-10-27",Test Drive,51
"2024-06-16",Toyota Offer,1
"2024-07-23",Social Media - Campaign,37
"2024-06-04",Toyota Offer,1
"2024-11-07",Toll Free,66
"2024-10-11",Motory,41
"2024-02-07",Facebook,2
"2024-11-30",Twitter,2
"2024-09-15",Toll Free,162
"2024-09-11",Instagram,3
"2024-02-10",Toyota Offer,22
"2024-01-21",Chatbot,4
"2024-05-11",Online Sales,395
"2024-03-23",Social Media - Campaign,19
"2024-02-01",Website,70
"2024-12-24",Website,115
"2024-08-21",Events,1
"2024-09-21",Toll Free,83
"2024-06-27",Website,78
"2024-02-20",Facebook,1
"2024-09-01",Toll Free,186
"2024-12-07",Chatbot,1
"2024-08-18",Motory Campaign,26
"2024-04-16",Social Media - Campaign,82
"2024-01-16",Toyota Offer,43
"2024-09-09",Website,186
"2024-05-29",Chatbot,2
"2024-03-06",Social Media - Campaign,82
"2024-07-16",Toyota Offer,3
"2024-12-01",Twitter,6
"2024-08-31",Online Sales,528
"2024-03-22",Social Media - Campaign,24
"2024-06-29",Social Media - Campaign,16
"2024-01-04",Motory Campaign,11
"2024-10-14",Online Sales,312
"2024-07-12",Online Sales,346
"2024-03-17",Chatbot,2
"2024-02-19",Online Sales,383
"2024-02-07",Toyota Offer,35
"2024-05-25",Facebook,1
"2024-02-21",Motory,110
"2024-01-18",Motory,88
"2024-05-08",Toll Free,130
"2024-10-28",Motory,53
"2024-07-25",Test Drive,37
"2024-04-25",Website,91
"2024-10-25",Toyota Offer,388
"2024-06-23",Twitter,26
"2024-05-15",Social Media - Campaign,64
"2024-02-10",Twitter,8
"2024-10-21",Motory,64
"2024-09-10",Instagram,1
"2024-09-29",Chatbot,7
"2024-06-08",Toyota Offer,4
"2024-04-01",Chatbot,3
"2024-05-10",Online Sales,17
"2024-04-24",Toyota Offer,24
"2024-02-05",Website,111
"2024-09-02",Chatbot,6
"2024-06-29",Motory,69
"2024-01-10",Toyota Offer,41
"2024-04-22",Online Sales,402
"2024-12-31",Social Media - Campaign,94
"2024-08-15",Chatbot,3
"2024-11-04",Toll Free,75
"2024-10-21",Chatbot,5
"2024-01-25",Twitter,2
"2024-08-14",Online Sales,995
"2024-08-07",Toll Free,191
"2024-06-27",Mobile Applications-TSS,2
"2024-09-19",Test Drive,56
"2024-06-21",Social Media - Campaign,19
"2024-10-20",Instagram,1
"2024-08-05",Events,1
"2024-02-20",Website,123
"2024-04-17",Social Media - Campaign,15
"2024-11-04",Twitter,1
"2024-01-17",Online Sales,329
"2024-03-23",Chatbot,4
"2024-11-29",Social Media - Campaign,14
"2024-06-12",Test Drive,47
"2024-10-09",Online Sales,393
"2024-07-12",Twitter,6
"2024-10-23",Instagram,2
"2024-10-10",Toyota Offer,3
"2024-04-17",Facebook,1
"2024-04-29",Online Sales,373
"2024-06-03",Test Drive,40
"2024-06-27",Twitter,12
"2024-01-16",Motory,110
"2024-09-28",Motory,61
